Link,Status,Arquivo
https://drive.google.com/open?id=1gy0o45Ppv719QcB_SHgFiD3m3o5-8dNn,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1_k2Z5TaBPjgQORVvqlxOqhWVNFc0adC1,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1vPbvBHlYhnUoykFhdOTpV4Tr5sSY0WzI,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1lf3dBXPm9xhl79Cz3DjwR1OEJRAei95n,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1aMjotsjfRlZAkVDjJDPwUoucK_F32lts,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=17Jhb8DN7uKR0iwTr_XaqBPROvyXyyov9,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1VEMro5wSmrUjlRFvDwO82tb8F5zAYN5A,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1TDHW7JjDLxClacuXUWLBRz4fDQLxwZHx,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1WOYnWvJ748sl20rFSGQuR2n6Celv9sIC,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=18KpYibZcU5KPdaa-ic0PTSfm9kGzdiJ0,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=16YaLIVdyt_t9ySKKBiCRC-YAaeM8QobA,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1izH0CvGA22a-B3Jwrunvkf5GeqjboNz3,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1MTaY3jvYtwvwWR8vmF5WA8IIiaAKTq3V,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1HlZky-dFgAaluW8m1p1_y5Q6rXcTqC3R,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1GnFnLPBogZnfTDHymfP96HRbByrQ0kgp,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=155bASqIB5b-8-caOpRPQGMgdhVUs5QnR,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1raiQDa-UrqEm5mw-JkVfbKLOkzoDF4OA,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1Kbn6QyVDGpQaFAeaj89aWHn6epHk-ZjT,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=129-wYEjhUBIjCpKTIgRN6Fh-6pZ9sK7Q,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1I8krFfosNzEIerDG3_8ktqBC25LBM7_r,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1-yn80VJT8rQ0y4lMMK4WZMfhcKjTS3B1,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1-H2LbrA-FyziHglU3JIrZPzJ2UQdEqvV,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1m7xF1QDmqd-gLyiDoiZ5qvFYJCssFxg3,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1vQWEpoPmVfpfgeNG-OP2vWe2sdbZCcJ0,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1DllSEFK-sRJ4LXNpIj9MmHt8QDK4cwX4,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=18NeD0QUYhGJ8DNeSvEJkyeMsGpFkr2ov,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1n_tQESZkuPgqbsasJnNRx5wmc2PTbF6Y,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1zjimEM5apUV8p4W-xIJx2frw4LIw1_Fn,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=16sVoDpXqs0FvBDVUUlCMEsWGgYldMnLH,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1schGT3ek9M5LSOoKsqyBmiNZUTjufHdx,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1mp9pvpC6mJQy_SJAJFvi6uVHMcTW7QF-,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1oZa6OpES57SQOJxGl1MWC2bSSJJle0aJ,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1ylwK_tnwwLNu4WwBTrfSnifbYFLVmKZO,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1z0Fxn9J5NsxDILSZHfGojN1tQEs6eoUR,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1Vv8pxuq2c3X__0WaaSZW16CVdHwt5TV4,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1zNPS-sKMqSTYUbYhTPy7gmbF7A2XTaJY,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1ZdnwxwBRoNyjoAg0JUIVNRAs4aQrzSpj,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1d42cE53C5jBc_hGWKKPYTQLCTdmKp0S2,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1UTtOSSTGkA5y08Dvmgx_vj3BGye4pbwY,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1RyIcInQLNNZMY87J4-oyx9tNORQt9XYn,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1HX8UbD8sYWNZdHza8UVLl2Q8RL5RZusl,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1WLSQ5J_SJivMqZ6Gjd3lB2aLLoBAnTLy,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1tnXTjA9ZfPTw-9Wjv7rEasSOib7WzvKo,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1uCjBC5hU21HiOwfW8t0I6Y6bTqQwc27G,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=11lvvLI_O7BimPlTtYAFZ_4cuBPsTk-eu,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1qzi4pLB40IIusVi-vlLzZG7VcLNHgS6q,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=114J6ljjOWbZwclQ5HmboUOYGSFAh9hv9,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1lKXZLN_cuCuLrmH9P4pVn9YvfcCe4YAv,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1ymu62G2orXSLhqHr6IjVvPdczUVZ3Dvz,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=167UP-xMEeOyQ5eq1Kcoh4muBebnAedJY,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1LNrHZqY_S0S1OYtL6LBciGLp0CMR0TSF,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1tOyTqh6Yn6xASEOKnILywyBLPf8jWW5X,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=13FoPeqdhs9MbQvIQYIdcvHAY74g20TAA,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1vcomx4RXAPpzZNVWa2C-QoBZENJx9f4G,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1nO6h0CQXSFbrMJfi0zfV-lqWeeHiYPsb,ERRO,download() got an unexpected keyword argument 'fuzzy'
